FISH_KEY,DATE_CATCH,Sesn,Year,LOCATION_ID,ACCESS_CODE,WEIGHT,TOTAL_LENGTH,FORK_LENGTH,SEX,Age,MAT_CODE
468LA_1476_F081_F,06-Jul-87,Fa,1987,468,F081,1239,,480,1,,2
468LA_148_F081_F,08-Oct-81,Fa,1981,468,F081,721,448,403,1,10,2
468LA_1480_F081_F,06-Jul-87,Fa,1987,468,F081,309,,340,1,,2
468LA_1481_F081_F,06-Jul-87,Fa,1987,468,F081,707,,400,1,,2
468LA_1482_F081_F,06-Jul-87,Fa,1987,468,F081,700,,396,2,,2
468LA_1483_F081_F,06-Jul-87,Fa,1987,468,F081,735,,415,2,,2
468LA_1484_F081_F,06-Jul-87,Fa,1987,468,F081,900,,430,1,,2
468LA_1485_F081_F,06-Jul-87,Fa,1987,468,F081,1000,,445,1,,2
468LA_1486_F081_F,04-Aug-87,Fa,1987,468,F081,866,,420,2,,2
468LA_1487_F081_F,04-Aug-87,Fa,1987,468,F081,1224,,478,2,,2
468LA_1488_F081_F,04-Aug-87,Fa,1987,468,F081,973,,450,1,,2
468LA_1489_F081_F,04-Aug-87,Fa,1987,468,F081,1044,,430,1,,2
468LA_149_F081_F,08-Oct-81,Fa,1981,468,F081,613,440,396,1,10,2
468LA_1490_F081_F,04-Aug-87,Fa,1987,468,F081,481,,370,2,,1
468LA_1491_F081_F,04-Aug-87,Fa,1987,468,F081,1032,,450,1,,2
468LA_1492_F081_F,04-Aug-87,Fa,1987,468,F081,673,,390,1,,2
468LA_1493_F081_F,04-Aug-87,Fa,1987,468,F081,734,,400,2,,2
468LA_1494_F081_F,04-Aug-87,Fa,1987,468,F081,431,,350,1,,2
468LA_1495_F081_F,04-Aug-87,Fa,1987,468,F081,306,,315,1,,1
468LA_1496_F081_F,04-Aug-87,Fa,1987,468,F081,302,,310,1,,1
468LA_1497_F081_F,04-Aug-87,Fa,1987,468,F081,879,,428,2,,2
468LA_1498_F081_F,09-Sep-87,Fa,1987,468,F081,663,,400,1,,2
468LA_1499_F081_F,09-Sep-87,Fa,1987,468,F081,345,,330,1,,1
468LA_15_F081_F,16-May-73,aSP,1973,468,F081,231,,280,2,5,1
468LA_150_F081_F,08-Oct-81,Fa,1981,468,F081,459,392,350,1,7,2
468LA_1500_F081_F,09-Sep-87,Fa,1987,468,F081,378,,351,2,,1
468LA_1501_F081_F,09-Sep-87,Fa,1987,468,F081,331,,321,1,,1
468LA_1502_F081_F,09-Sep-87,Fa,1987,468,F081,550,,381,1,,2
468LA_1504_F081_F,09-Sep-87,Fa,1987,468,F081,309,,305,1,,2
468LA_1505_F081_F,09-Sep-87,Fa,1987,468,F081,363,,330,1,,1
468LA_1506_F081_F,09-Sep-87,Fa,1987,468,F081,329,,325,2,,1
468LA_1507_F081_F,09-Sep-87,Fa,1987,468,F081,472,,360,2,,1
468LA_1508_F081_F,09-Sep-87,Fa,1987,468,F081,407,,335,2,,2
468LA_1509_F081_F,09-Sep-87,Fa,1987,468,F081,3000,,625,1,,2
468LA_151_F081_F,08-Oct-81,Fa,1981,468,F081,717,479,426,1,10,2
468LA_1510_F081_F,30-Sep-87,Fa,1987,468,F081,792,,412,1,,2
468LA_1511_F081_F,30-Sep-87,Fa,1987,468,F081,712,,415,2,,2
468LA_1512_F081_F,30-Sep-87,Fa,1987,468,F081,484,,369,1,,2
468LA_1513_F081_F,30-Sep-87,Fa,1987,468,F081,307,,304,2,,1
468LA_1514_F081_F,30-Sep-87,Fa,1987,468,F081,826,,424,1,,2
468LA_1515_F081_F,30-Sep-87,Fa,1987,468,F081,983,,443,1,,2
468LA_1516_F081_F,30-Sep-87,Fa,1987,468,F081,1527,,502,2,,2
468LA_1517_F081_F,30-Sep-87,Fa,1987,468,F081,686,,418,1,,2
468LA_1518_F081_F,30-Sep-87,Fa,1987,468,F081,852,,442,2,,2
468LA_1519_F081_F,30-Sep-87,Fa,1987,468,F081,1104,,420,2,,2
468LA_152_F081_F,08-Oct-81,Fa,1981,468,F081,584,432,391,1,6,2
468LA_1520_F081_F,30-Sep-87,Fa,1987,468,F081,1151,,456,2,,2
468LA_1521_F081_F,27-Oct-87,Fa,1987,468,F081,698,,411,2,,2
468LA_1522_F081_F,27-Oct-87,Fa,1987,468,F081,272,,305,1,,1
468LA_1523_F081_F,27-Oct-87,Fa,1987,468,F081,625,,400,1,,2
468LA_1524_F081_F,27-Oct-87,Fa,1987,468,F081,701,,415,1,,2
468LA_1525_F081_F,27-Oct-87,Fa,1987,468,F081,1325,,491,2,,2
468LA_1526_F081_F,27-Oct-87,Fa,1987,468,F081,5000,,710,1,,2
468LA_1527_F081_F,27-Oct-87,Fa,1987,468,F081,344,,325,1,,1
