FISH_KEY,LOCATION,YEAR,DATE_CATCH,capture_recapture,DATE_CATCH_2,taxon,FISH_NUM,fish_catch_method,ORIG_NUM,WEIGHT,TOTAL_LENGTH,FORK_LENGTH,SEX,AGE,DEAD,COMMENTS
373LA_35_F081_R,373,1988,10/8/1988,R,,F081,35,2,15,1005,493,451,1,8,,#76;age inferred
373LA_40_F081_R,373,1988,10/8/1988,R,,F081,40,2,28,1060,523,470,1,9,,#13;age inferred
373LA_36_F081_R,373,1988,10/8/1988,R,,F081,36,2,18,905,465,417,1,11,,#77;age inferred
373LA_110_F081_F,373,1988,10/8/1988,F,,F081,110,2,12,1020,494,451,2,14,,
373LA_37_F081_R,373,1988,10/8/1988,R,,F081,37,2,19,1325,521,476,1,24,,#28;age inferred
373LA_113_F081_F,373,1988,10/8/1988,F,,F081,113,2,17,940,479,429,,11,,
373LA_38_F081_R,373,1988,10/8/1988,R,,F081,38,2,22,1200,526,476,,17,,
373LA_112_F081_F,373,1988,10/8/1988,F,,F081,112,2,16,870,460,413,2,9,,
373LA_39_F081_R,373,1988,10/8/1988,R,,F081,39,2,26,1415,563,510,1,20,,#6;age inferred
373LA_99_F081_F,373,1988,10/5/1988,F,,F081,99,2,9,795,448,402,,7,,
373LA_115_F081_F,373,1988,10/8/1988,F,,F081,115,2,21,980,477,426,,13,,
373LA_145_F081_F,373,1989,10/11/1989,F,,F081,145,2,3,1258,511,461,2,15,,
373LA_56_F081_R,373,1989,10/11/1989,R,,F081,56,2,17,880,460,413,1,13,,#134;age inferred
373LA_65_F081_R,373,1989,10/13/1989,R,,F081,65,2,10,1065,509,463,1,16,,"#118,PROBABLY;age inferred"
373LA_149_F081_F,373,1989,10/11/1989,F,,F081,149,2,7,972,470,423,1,11,,
373LA_64_F081_R,373,1989,10/13/1989,R,,F081,64,2,9,923,470,424,1,12,,#126;age inferred
373LA_148_F081_F,373,1989,10/11/1989,F,,F081,148,2,6,930,471,439,1,9,,
373LA_63_F081_R,373,1989,10/13/1989,R,,F081,63,2,6,1350,538,486,1,28,,#3;OT# 2BR;age inferred
373LA_147_F081_F,373,1989,10/11/1989,F,,F081,147,2,5,882,463,423,1,9,,
373LA_62_F081_R,373,1989,10/13/1989,R,,F081,62,2,5,920,468,422,1,9,,
373LA_66_F081_R,373,1989,10/13/1989,R,,F081,66,2,13,897,476,430,1,8,,#53;age inferred
373LA_61_F081_R,373,1989,10/13/1989,R,,F081,61,2,4,1210,496,450,1,11,,#70;age inferred
373LA_151_F081_F,373,1989,10/11/1989,F,,F081,151,2,11,865,455,410,1,16,,
373LA_60_F081_R,373,1989,10/13/1989,R,,F081,60,2,3,1470,564,512,2,14,,#131;age inferred
373LA_144_F081_F,373,1989,10/11/1989,F,,F081,144,2,2,500,383,348,1,4,Y,+
373LA_59_F081_R,373,1989,10/13/1989,R,,F081,59,2,2,1241,526,476,2,19,,#36;age inferred
373LA_143_F081_F,373,1989,10/11/1989,F,,F081,143,2,1,1128,490,445,2,10,,
373LA_58_F081_R,373,1989,10/13/1989,R,,F081,58,2,1,1510,546,490,1,29,,#74;age inferred
373LA_164_F081_F,373,1989,10/13/1989,F,,F081,164,2,22,840,467,422,1,11,,
373LA_57_F081_R,373,1989,10/11/1989,R,,F081,57,2,20,1068,496,454,1,9,,#76;age inferred
373LA_158_F081_F,373,1989,10/13/1989,F,,F081,158,2,7,965,489,445,1,19,,
373LA_146_F081_F,373,1989,10/11/1989,F,,F081,146,2,4,1000,476,428,1,12,,
373LA_157_F081_F,373,1989,10/11/1989,F,,F081,157,2,21,1648,562,512,1,24,,any on edge
373LA_70_F081_R,373,1989,10/13/1989,R,,F081,70,2,17,1415,534,489,,16,,#18;age inferred
373LA_163_F081_F,373,1989,10/13/1989,F,,F081,163,2,19,788,462,415,1,8,,
373LA_162_F081_F,373,1989,10/13/1989,F,,F081,162,2,18,1000,480,432,2,11,,
373LA_71_F081_R,373,1989,10/13/1989,R,,F081,71,2,20,970,477,432,1,14,,#111;age inferred
373LA_161_F081_F,373,1989,10/13/1989,F,,F081,161,2,12,772,434,389,1,9,,
373LA_53_F081_R,373,1989,10/11/1989,R,,F081,53,2,10,1169,503,458,2,8,,
373LA_160_F081_F,373,1989,10/13/1989,F,,F081,160,2,11,668,423,378,1,6,,
373LA_166_F081_F,373,1989,10/13/1989,F,,F081,166,2,24,965,485,436,1,12,,
373LA_150_F081_F,373,1989,10/11/1989,F,,F081,150,2,9,1075,482,434,2,17,,
373LA_165_F081_F,373,1989,10/13/1989,F,,F081,165,2,23,650,422,377,,7,,
373LA_141_F081_F,373,1989,10/6/1989,F,,F081,141,2,4,1005,481,434,,13,,
373LA_69_F081_R,373,1989,10/13/1989,R,,F081,69,2,16,1252,524,479,1,18,,#15;age inferred
373LA_156_F081_F,373,1989,10/11/1989,F,,F081,156,2,19,825,458,414,1,11,,
373LA_155_F081_F,373,1989,10/11/1989,F,,F081,155,2,18,1078,480,439,1,14,,
373LA_154_F081_F,373,1989,10/11/1989,F,,F081,154,2,16,1065,489,443,2,13,,
373LA_153_F081_F,373,1989,10/11/1989,F,,F081,153,2,15,1275,495,452,2,16,,
373LA_68_F081_R,373,1989,10/13/1989,R,,F081,68,2,15,921,487,440,,15,,#117;age inferred
373LA_152_F081_F,373,1989,10/11/1989,F,,F081,152,2,13,942,466,418,2,12,,
373LA_67_F081_R,373,1989,10/13/1989,R,,F081,67,2,14,860,479,430,1,15,,#79;age inferred
